type, cue, valid, stimulus, interval between cue and stimulus, response, reaction time
1,1,1,1,1,1,0.20631
1,1,1,1,1,1,0.18721
1,1,1,1,1,1,0.18791
2,-1,1,-1,0,1,0.19711
1,-1,-1,1,0,1,0.49043
2,1,1,1,0,1,0.22352
1,1,1,1,0,1,0.18381
2,1,1,1,0,1,0.20813
1,-1,1,-1,1,1,0.18597
2,1,1,1,0,1,0.18480
1,1,1,1,1,1,0.23588
2,-1,-1,1,0,1,0.24914
1,1,-1,-1,1,1,0.35328
1,-1,1,-1,1,1,0.23796
1,-1,-1,1,1,1,0.29968
1,-1,1,-1,0,1,0.28160
1,-1,1,-1,1,1,0.26953
1,1,-1,-1,1,1,0.21774
2,1,1,1,0,1,0.17292
1,1,1,1,0,1,0.24315
2,1,1,1,0,1,0.25389
2,1,-1,-1,0,1,0.28818
2,1,-1,-1,0,1,0.22227
1,1,1,1,0,1,0.24108
2,-1,1,-1,0,1,0.22200
1,-1,1,-1,1,1,0.20298
2,1,1,1,0,1,0.22579
1,1,1,1,0,1,0.18885
1,1,1,1,0,1,0.19224
2,1,-1,-1,0,1,0.29361
2,-1,1,-1,0,1,0.29254
2,-1,1,-1,0,1,0.26580
1,-1,1,-1,0,1,0.23534
1,1,1,1,1,1,0.21340
2,-1,1,-1,0,1,0.21586
2,-1,1,-1,0,1,0.20993
2,-1,1,-1,0,1,0.19370
2,1,1,1,0,1,0.18155
1,-1,1,-1,1,1,0.19664
1,-1,1,-1,1,1,0.18784
1,-1,1,-1,0,1,0.21665
1,1,1,1,0,1,0.18153
2,-1,1,-1,0,1,0.16796
1,-1,1,-1,1,1,0.21280
2,1,1,1,0,1,0.20884
1,-1,-1,1,1,1,0.32559
1,-1,-1,1,1,1,0.26984
2,1,1,1,0,1,0.18409
1,-1,1,-1,0,1,0.24289
2,-1,-1,1,0,1,0.26492
1,-1,1,-1,1,1,0.19257
2,-1,1,-1,0,1,0.23318
2,-1,1,-1,0,1,0.20719
2,-1,1,-1,0,1,0.31093
1,-1,1,-1,0,1,0.18273
2,-1,-1,1,0,1,0.31165
2,1,1,1,0,1,0.19162
1,1,1,1,0,1,0.24033
1,1,-1,-1,1,1,0.25397
1,1,1,1,1,1,0.16659
1,-1,-1,1,0,1,0.29630
2,-1,1,-1,0,1,0.17315
2,-1,1,-1,0,1,0.21871
1,-1,1,-1,0,1,0.24354
2,-1,1,-1,0,1,0.19539
1,1,-1,-1,0,1,0.29491
2,-1,1,-1,0,1,0.21972
2,1,1,1,0,1,0.16015
2,1,1,1,0,1,0.21168
1,-1,1,-1,0,1,0.18863
1,1,1,1,1,1,0.18668
1,-1,1,-1,1,1,0.22943
1,1,1,1,1,1,0.17231
2,1,1,1,0,1,0.17784
1,-1,1,-1,0,1,0.21527
2,1,1,1,0,1,0.15964
2,1,1,1,0,1,0.19223
2,1,1,1,0,1,0.15405
1,-1,1,-1,0,1,0.22965
1,1,1,1,0,1,0.19843
2,1,-1,-1,0,1,0.28424
1,-1,1,-1,1,1,0.16435
2,-1,1,-1,0,1,0.20751
1,1,-1,-1,0,1,0.38022
2,-1,-1,1,0,1,0.22983
2,1,1,1,0,1,0.14655
1,-1,1,-1,0,1,0.20551
1,1,1,1,1,1,0.18549
2,1,1,1,0,1,0.16574
2,-1,1,-1,0,1,0.21977
2,1,-1,-1,0,1,0.30186
1,1,1,1,0,1,0.23994
2,-1,1,-1,0,1,0.22471
2,1,1,1,0,1,0.18436
2,1,1,1,0,1,0.19356
1,1,1,1,0,1,0.20567
2,-1,1,-1,0,1,0.21747
2,-1,1,-1,0,1,0.17654
1,1,1,1,1,1,0.16378
2,-1,-1,1,0,1,0.27336
